Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Datetime,,,,,
2026-04-01 08:00:00+00:00,854.37,856.0,844.43,850.0,0
2026-04-01 08:01:00+00:00,856.66,856.92,843.28,854.27,0
2026-04-01 08:02:00+00:00,853.94,853.94,853.94,853.94,0
2026-04-01 08:04:00+00:00,851.07,851.07,851.07,851.07,0
2026-04-01 08:05:00+00:00,851.31,853.46,851.0,851.0,0
2026-04-01 08:08:00+00:00,851.11,851.11,851.11,851.11,0
2026-04-01 08:11:00+00:00,851.07,851.11,851.07,851.11,0
2026-04-01 08:13:00+00:00,850.5,850.5,850.5,850.5,0
2026-04-01 08:14:00+00:00,852.85,852.85,852.85,852.85,0
2026-04-01 08:19:00+00:00,851.5,851.5,851.5,851.5,0
2026-04-01 08:20:00+00:00,851.93,852.0,851.5,851.5,0
2026-04-01 08:21:00+00:00,851.53,851.53,851.53,851.53,0
2026-04-01 08:24:00+00:00,852.82,852.82,851.8,851.8,0
2026-04-01 08:25:00+00:00,851.86,851.86,851.86,851.86,0
2026-04-01 08:29:00+00:00,851.0,851.82,851.0,851.82,0
2026-04-01 08:31:00+00:00,852.0,852.23,852.0,852.23,0
2026-04-01 08:32:00+00:00,852.92,852.93,852.24,852.24,0
2026-04-01 08:34:00+00:00,852.93,852.93,852.93,852.93,0
2026-04-01 08:37:00+00:00,851.23,851.23,851.23,851.23,0
2026-04-01 08:45:00+00:00,854.9988,854.9988,854.9988,854.9988,0
2026-04-01 08:48:00+00:00,853.4371,853.4371,853.4371,853.4371,0
2026-04-01 08:52:00+00:00,853.43,853.43,853.43,853.43,0
2026-04-01 08:54:00+00:00,851.14,851.5,851.14,851.31,0
2026-04-01 08:55:00+00:00,851.14,851.5,851.14,851.5,0
2026-04-01 08:56:00+00:00,855.0,855.0,853.0,853.0,0
2026-04-01 09:07:00+00:00,854.9988,854.9988,854.9988,854.9988,0
2026-04-01 09:08:00+00:00,851.72,851.72,851.72,851.72,0
2026-04-01 09:09:00+00:00,851.51,853.3654,851.51,853.3654,0
2026-04-01 09:10:00+00:00,851.26,851.26,851.26,851.26,0
2026-04-01 09:11:00+00:00,853.2554,853.2554,853.2554,853.2554,0
2026-04-01 09:19:00+00:00,850.67,851.04,850.67,851.04,0
2026-04-01 09:20:00+00:00,850.36,851.04,850.36,851.04,0
2026-04-01 09:26:00+00:00,850.36,850.36,850.36,850.36,0
2026-04-01 09:30:00+00:00,850.0,850.0,850.0,850.0,0
2026-04-01 09:32:00+00:00,850.82,850.82,850.82,850.82,0
2026-04-01 09:34:00+00:00,851.1,851.1,851.04,851.04,0
2026-04-01 09:36:00+00:00,851.68,851.68,850.84,850.84,0
2026-04-01 09:41:00+00:00,852.96,852.96,852.96,852.96,0
2026-04-01 09:43:00+00:00,851.8,851.8,849.47,850.22,0
2026-04-01 09:45:00+00:00,850.22,850.22,850.22,850.22,0
2026-04-01 09:46:00+00:00,850.48,852.5,850.23,850.23,0
2026-04-01 09:48:00+00:00,852.35,852.35,852.32,852.32,0
2026-04-01 09:50:00+00:00,852.35,852.35,852.34,852.34,0
2026-04-01 09:53:00+00:00,853.9,853.9,853.9,853.9,0
2026-04-01 09:54:00+00:00,853.9,853.9,853.9,853.9,0
2026-04-01 09:56:00+00:00,853.1928,853.1928,851.8,851.8,0
2026-04-01 09:58:00+00:00,852.35,852.35,852.35,852.35,0
2026-04-01 09:59:00+00:00,850.76,850.76,850.76,850.76,0
2026-04-01 10:06:00+00:00,852.8,852.8,852.8,852.8,0
2026-04-01 10:11:00+00:00,852.8,852.8,852.8,852.8,0
2026-04-01 10:21:00+00:00,852.1,852.1,851.99,851.99,0
2026-04-01 10:26:00+00:00,852.1,852.1,852.1,852.1,0
2026-04-01 10:27:00+00:00,845.0,852.1,845.0,851.99,0
2026-04-01 10:32:00+00:00,853.19,853.19,853.19,853.19,0
2026-04-01 10:34:00+00:00,845.7072,845.7072,845.7072,845.7072,0
2026-04-01 10:40:00+00:00,851.04,851.04,851.04,851.04,0
2026-04-01 10:41:00+00:00,853.18,853.18,852.09,852.09,0
2026-04-01 10:45:00+00:00,853.18,853.18,853.18,853.18,0
2026-04-01 10:46:00+00:00,853.8,853.8,852.13,852.13,0
2026-04-01 10:48:00+00:00,853.79,853.79,853.25,853.25,0
2026-04-01 10:49:00+00:00,851.13,851.13,847.0,847.0,0
2026-04-01 10:50:00+00:00,853.68,853.79,851.56,851.56,0
2026-04-01 10:51:00+00:00,853.75,853.75,853.69,853.69,0
2026-04-01 10:52:00+00:00,853.8,853.9,853.69,853.69,0
2026-04-01 10:54:00+00:00,853.8,853.8,853.8,853.8,0
2026-04-01 10:56:00+00:00,853.85,853.85,853.79,853.8,0
2026-04-01 10:57:00+00:00,853.9,853.9,853.8,853.8,0
